Extract_ID,Depository_ID,Dog/Wolf Status,Country,Site name,"Analysed
Nuclear","mtDNA 
Analysed",mtDNA capture,Extraction_lab,Lat,Long,Radiocarbon Lab #,Direct date?,"Radiocarbon date 
 (95.4% interval, lab number)","Age 
(from context)","Number 
of reads","Endogeneous
 Content","Nuclear
Coverage",Sex,"mtDNA 
Coverage",N_SNP_call
AL2704/ISM357,ISM_F2357,Dog,USA,"Koster, Illinois",0,0,1,Oxford/Illinois,39.209167,-90.549167,NZA37135,direct date,10130-9680 cal BP,"Archaic, Transition",337150,0.856592021,6.26E-05,NA,0.050277994,200
AL2805,ISM_F2407A,Dog,USA,"Koster, Illinois",0,0,0,Oxford,39.209167,-90.549167,NA,NA,not directly dated,"Archaic, Transition",217748,0.883130959,4.01E-05,M,0.044897471,98
AL3199,HMCZ_51769,Dog,USA,"Jaguar Cave, Lehmi, Idaho",0,0,0,Oxford,44.851667,-113.619722,?,?,3000-1000 cal BP,NA,819668,1.33334472,0.000275077,M,0.033777725,1430
AL2552,MT02_707,Dog,Mexico,"Tizayuca, Hidalgo",0,0,0,Oxford,19.833333,-98.983333,NA,NA,NA,1800-1500 BP,3478772,0.264346154,0.000158459,NA,0.022777545,484
AL2697,ISM_13CK405_42686_177_224,Dog,USA,"Cherokee Sewer, Iowa",0,0,0,Oxford,42.721795,-95.589501,UCLA1877B,associated date (wood),7420-7010 cal BP,Archaic,29994,7.948256318,6.12E-05,M,0.018772045,296
AL2546,MT04_1661,Dog,Mexico,"Tizayuca, Hidalgo",0,0,0,Oxford,19.833333,-98.983333,NA,NA,NA,800-500 BP,103485,1.606996183,3.29E-05,F,0.011717582,87
AL2701,ISM_11PK18_1961_63,Dog,USA,"Stilwell, Illinois",0,0,0,Oxford,39.559118,-90.835374,ISM2013-2 X25581,direct date,10190-9630 cal BP,"Archaic, Transition",62302,0.751179737,9.13E-06,M,0.003826149,36
AL2702,ISM_1978180F_23BE125_2540,Dog,USA,"Rodgers Shelter, Missouri",0,0,0,Oxford,38.030786,-92.552136,ISM2013-1 X25574,direct date,9000-8600 cal BP,NA,184600,0.964247021,3.57E-05,F,0.003527231,128
AL2699/ISM172,ISM_13CK61_7_2,Dog,USA,"Simonsen Bison Kill, Iowa",0,0,1,Oxford/Illinois,42.721795,-95.589501,AA68353,associated date (bison),7480-7180 cal BP,Archaic,506272,0.173819607,1.66E-05,NA,0.002211993,15
AL2769,OSU_A4963_1956,Dog,USA,"Delaware reservoir, Ohio",0,0,0,Oxford,40.379,-83.054,NA,NA,NA,1000-150BP,6229,1.541178359,2.20E-06,M,0,7
